Date,AAPL,GOOGL,IBM
2022-08-16,171.7832489013672,121.69999694824219,128.56578063964844
2022-08-17,173.2923126220703,119.55000305175781,129.7237548828125
2022-08-18,172.89517211914062,120.16999816894531,130.92884826660156
2022-08-19,170.2841339111328,117.20999908447266,130.26979064941406
2022-08-22,166.36260986328125,114.23999786376953,127.61489868164062
2022-08-23,166.02505493164062,113.86000061035156,126.8523178100586
2022-08-24,166.32289123535156,113.69000244140625,125.43069458007812
2022-08-25,168.80487060546875,116.6500015258789,126.13680267333984
2022-08-26,162.4410400390625,110.33999633789062,122.74755096435547
2022-08-29,160.2172088623047,109.41999816894531,122.681640625
2022-08-30,157.7650146484375,108.94000244140625,121.99436950683594
2022-08-31,156.087158203125,108.22000122070312,120.93052673339844
2022-09-01,156.8218536376953,109.73999786376953,122.06969451904297
2022-09-02,154.68731689453125,107.8499984741211,120.30916595458984
2022-09-06,153.41656494140625,106.80999755859375,119.30178833007812
2022-09-07,154.83624267578125,109.44999694824219,120.23384094238281
2022-09-08,153.34707641601562,108.37999725341797,120.94934844970703
2022-09-09,156.23609924316406,110.6500015258789,121.62720489501953
2022-09-12,162.25241088867188,110.86000061035156,123.01115417480469
2022-09-13,152.7315216064453,104.31999969482422,119.80076599121094
2022-09-14,154.19091796875,105.0,120.21501922607422
2022-09-15,151.27210998535156,102.91000366210938,118.143798828125
2022-09-16,149.61415100097656,102.80000305175781,119.8196029663086
2022-09-19,153.3668975830078,103.06999969482422,120.252685546875
2022-09-20,155.7694854736328,101.13999938964844,118.9063949584961
2022-09-21,152.6123809814453,99.27999877929688,117.6165771484375
2022-09-22,151.63943481445312,100.13999938964844,117.9743423461914
2022-09-23,149.34608459472656,98.73999786376953,115.52654266357422
2022-09-26,149.6836395263672,98.16999816894531,114.86752319335938
2022-09-27,150.66651916503906,97.5,114.61332702636719
2022-09-28,148.76034545898438,100.05000305175781,115.57361602783203
2022-09-29,141.45338439941406,97.41999816894531,114.509765625
2022-09-30,137.20420837402344,95.6500015258789,111.85485076904297
2022-10-03,141.423583984375,98.63999938964844,114.39679718017578
2022-10-04,145.04730224609375,101.63999938964844,118.1532211303711
2022-10-05,145.34512329101562,101.43000030517578,118.3791732788086
2022-10-06,144.3821258544922,101.41999816894531,115.07463836669922
2022-10-07,139.08059692382812,98.68000030517578,111.86427307128906
2022-10-10,139.408203125,97.86000061035156,110.85690307617188
2022-10-11,137.97860717773438,97.18000030517578,110.90397644042969
2022-10-12,137.34320068359375,97.55999755859375,110.68744659423828
2022-10-13,141.95970153808594,99.05999755859375,114.66040802001953
2022-10-14,137.38291931152344,96.55999755859375,113.01285552978516
2022-10-17,141.38389587402344,99.97000122070312,114.40621185302734
2022-10-18,142.7142333984375,100.7699966430664,115.74308013916016
2022-10-19,142.82345581054688,99.62999725341797,115.3382568359375
2022-10-20,142.3568115234375,99.97000122070312,120.78931427001953
2022-10-21,146.20887756347656,101.12999725341797,122.29563903808594
2022-10-24,148.37315368652344,102.5199966430664,124.92232513427734
2022-10-25,151.24234008789062,104.4800033569336,125.14825439453125
2022-10-26,148.27389526367188,94.93000030517578,127.10649871826172
2022-10-27,143.7566680908203,92.22000122070312,126.88055419921875
2022-10-28,154.6178436279297,96.29000091552734,130.40162658691406
2022-10-31,152.23512268066406,94.51000213623047,130.19448852539062
2022-11-01,149.5644989013672,90.47000122070312,130.10977172851562
2022-11-02,143.98500061035156,86.97000122070312,128.8199462890625
2022-11-03,137.87933349609375,83.43000030517578,126.59811401367188
2022-11-04,137.61083984375,86.58000183105469,128.94236755371094
2022-11-07,138.14781188964844,88.48999786376953,130.24154663085938
2022-11-08,138.72459411621094,88.9000015258789,131.842041015625
2022-11-09,134.12033081054688,87.31999969482422,130.88937377929688
2022-11-10,146.05361938476562,93.94000244140625,134.5476837158203
2022-11-11,148.86790466308594,96.41000366210938,136.39588928222656
2022-11-14,147.45579528808594,95.69999694824219,137.3771514892578
2022-11-15,149.2060089111328,98.44000244140625,137.51051330566406
2022-11-16,147.96295166015625,98.8499984741211,137.68202209472656
2022-11-17,149.88221740722656,98.36000061035156,139.17771911621094
2022-11-18,150.4490509033203,97.43000030517578,140.65438842773438
2022-11-21,147.1873016357422,95.5999984741211,139.7397918701172
2022-11-22,149.34523010253906,97.05000305175781,142.04530334472656
2022-11-23,150.23028564453125,98.45999908447266,141.7118682861328
2022-11-25,147.2867431640625,97.45999908447266,141.34983825683594
2022-11-28,143.41836547851562,96.05000305175781,139.26345825195312
2022-11-29,140.38531494140625,95.19000244140625,139.5587921142578
2022-11-30,147.20718383789062,100.98999786376953,141.85476684570312
2022-12-01,147.48562622070312,100.98999786376953,142.1024627685547
2022-12-02,146.98841857910156,100.44000244140625,141.63565063476562
2022-12-05,145.81497192382812,99.4800033569336,140.4352569580078
2022-12-06,142.1156463623047,96.9800033569336,140.52101135253906
2022-12-07,140.15660095214844,94.94000244140625,140.30189514160156
2022-12-08,141.85708618164062,93.70999908447266,140.7877655029297
2022-12-09,141.36981201171875,92.83000183105469,140.09228515625
2022-12-12,143.68685913085938,93.30999755859375,142.1501007080078
2022-12-13,144.6614227294922,95.62999725341797,143.4457550048828
2022-12-14,142.4139862060547,95.06999969482422,142.7693328857422
